ID,GeneName,GeneID,UniProtID,STRING_ID
2604,FBN3,84467,Q75N90,9606.ENSP00000270509
2605,TIMM44,10469,,9606.ENSP00000270538
2606,TM4SF5,9032,,9606.ENSP00000270560
2607,SLC47A1,55244,Q96FL8,9606.ENSP00000270570
2608,PSMB6,5694,,9606.ENSP00000270586
2609,GPR32,2854,,9606.ENSP00000270590
2610,RPS11,,,9606.ENSP00000270625
2611,PTH2,113091,,9606.ENSP00000270631
2612,RCN3,57333,,9606.ENSP00000270645
2613,PRDM16,63976,,9606.ENSP00000270722
2614,ARHGEF19,128272,,9606.ENSP00000270747
2615,PGD,5226,P52209,9606.ENSP00000270776
2616,SH3BGRL3,83442,,9606.ENSP00000270792
2617,IL22RA1,58985,,9606.ENSP00000270800
2618,PLK4,10733,O00444,9606.ENSP00000270861
2619,FCN3,8547,O75636,9606.ENSP00000270879
2620,TINAGL1,64129,,9606.ENSP00000271064
2621,MOB3C,148932,,9606.ENSP00000271139
2622,FNBP1L,54874,,9606.ENSP00000271234
2623,PSMA5,5686,,9606.ENSP00000271308
2624,PROK1,84432,,9606.ENSP00000271331
2625,CELSR2,1952,,9606.ENSP00000271332
2626,MPC2,25874,,9606.ENSP00000271373
2627,FCGR2A,2212,,9606.ENSP00000271450
2628,FCGR2C,9103,,9606.ENSP00000271450
2629,NUF2,83540,,9606.ENSP00000271452
2630,UAP1,6675,,9606.ENSP00000271469
2631,PRCC,5546,,9606.ENSP00000271526
2632,FCRL4,83417,,9606.ENSP00000271532
2633,MEF2D,4209,,9606.ENSP00000271555
2634,HMCN1,83872,,9606.ENSP00000271588
2635,PRUNE1,58497,,9606.ENSP00000271620
2636,SF3B4,10262,,9606.ENSP00000271628
2637,CGN,57530,,9606.ENSP00000271636
2638,S100A11,6282,,9606.ENSP00000271638
2639,SETDB1,9869,,9606.ENSP00000271640
2640,CTSK,1513,,9606.ENSP00000271651
2641,CERS2,29956,,9606.ENSP00000271688
2642,POGZ,23126,,9606.ENSP00000271715
2643,GOLPH3L,55204,,9606.ENSP00000271732
2644,KCNH1,3756,O95259,9606.ENSP00000271751
2645,EIF2D,1939,,9606.ENSP00000271764
2646,LGTN,100529141,,9606.ENSP00000271764
2647,CRNN,49860,,9606.ENSP00000271835
2648,JTB,10899,,9606.ENSP00000271843
2649,SLC27A3,11000,,9606.ENSP00000271857
2650,CREB3L4,148327,,9606.ENSP00000271889
2651,CAPN9,10753,,9606.ENSP00000271971
2652,ACP1,52,,9606.ENSP00000272067
2653,CNIH3,149111,,9606.ENSP00000272133
2654,WNT9A,7483,,9606.ENSP00000272164
2655,REN,5972,P00797,9606.ENSP00000272190
2656,OSR1,130497,,9606.ENSP00000272223
2657,RHOB,388,,9606.ENSP00000272233
2658,ATP6V1C2,245973,Q8NEY4,9606.ENSP00000272238
2659,GALM,130589,,9606.ENSP00000272252
2660,ABCG8,64241,,9606.ENSP00000272286
2661,RPS27A,6233,,9606.ENSP00000272317
2662,WDPCP,51057,,9606.ENSP00000272321
